Input arguments:
id               resnet50_upernet_0.2
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.2
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/learning_rate/
disp_iter        20
Model ID: resnet50_upernet_0.2-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.2-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [2][120/500], Time: 1.13, Data: 0.04, lr_encoder: 0.018882, lr_decoder: 0.188823, Accuracy: 99.82, IOU: 0.136412 Loss: 0.009745
Epoch: [2][140/500], Time: 1.13, Data: 0.04, lr_encoder: 0.018846, lr_decoder: 0.188460, Accuracy: 99.81, IOU: 0.136246 Loss: 0.009667
Epoch: [2][160/500], Time: 1.13, Data: 0.04, lr_encoder: 0.018810, lr_decoder: 0.188098, Accuracy: 99.82, IOU: 0.133801 Loss: 0.009443
Epoch: [2][180/500], Time: 1.12, Data: 0.04, lr_encoder: 0.018774, lr_decoder: 0.187735, Accuracy: 99.82, IOU: 0.137884 Loss: 0.009352
Epoch: [2][200/500], Time: 1.12, Data: 0.04, lr_encoder: 0.018737, lr_decoder: 0.187373, Accuracy: 99.83, IOU: 0.140872 Loss: 0.009142
Epoch: [2][220/500], Time: 1.11, Data: 0.04, lr_encoder: 0.018701, lr_decoder: 0.187010, Accuracy: 99.83, IOU: 0.145037 Loss: 0.008906
Epoch: [2][240/500], Time: 1.12, Data: 0.04, lr_encoder: 0.018665, lr_decoder: 0.186647, Accuracy: 99.84, IOU: 0.143898 Loss: 0.008718
Epoch: [2][260/500], Time: 1.11, Data: 0.04, lr_encoder: 0.018628, lr_decoder: 0.186285, Accuracy: 99.84, IOU: 0.146957 Loss: 0.008676
Epoch: [2][280/500], Time: 1.11, Data: 0.04, lr_encoder: 0.018592, lr_decoder: 0.185922, Accuracy: 99.84, IOU: 0.145490 Loss: 0.008587
Epoch: [2][300/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018556, lr_decoder: 0.185559, Accuracy: 99.85, IOU: 0.145339 Loss: 0.008471
Epoch: [2][320/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018520, lr_decoder: 0.185196, Accuracy: 99.85, IOU: 0.150187 Loss: 0.008293
Epoch: [2][340/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018483, lr_decoder: 0.184833, Accuracy: 99.85, IOU: 0.147635 Loss: 0.008217
Epoch: [2][360/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018447, lr_decoder: 0.184469, Accuracy: 99.85, IOU: 0.152771 Loss: 0.008141
Epoch: [2][380/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018411, lr_decoder: 0.184106, Accuracy: 99.85, IOU: 0.153202 Loss: 0.008107
Epoch: [2][400/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018374, lr_decoder: 0.183743, Accuracy: 99.85, IOU: 0.153926 Loss: 0.008013
Epoch: [2][420/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018338, lr_decoder: 0.183379, Accuracy: 99.85, IOU: 0.154132 Loss: 0.007972
Epoch: [2][440/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018302, lr_decoder: 0.183016, Accuracy: 99.86, IOU: 0.157185 Loss: 0.007893
Epoch: [2][460/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018265, lr_decoder: 0.182652, Accuracy: 99.86, IOU: 0.157894 Loss: 0.007816
Epoch: [2][480/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018229, lr_decoder: 0.182288, Accuracy: 99.86, IOU: 0.157784 Loss: 0.007772
Saving checkpoints...
Epoch: [3][0/500], Time: 0.90, Data: 0.00, lr_encoder: 0.018192, lr_decoder: 0.181925, Accuracy: 99.57, IOU: 0.008929 Loss: 0.009195
Epoch: [3][20/500], Time: 1.04, Data: 0.04, lr_encoder: 0.018156, lr_decoder: 0.181561, Accuracy: 99.86, IOU: 0.213662 Loss: 0.007769
Epoch: [3][40/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018120, lr_decoder: 0.181197, Accuracy: 99.89, IOU: 0.182184 Loss: 0.006698
Epoch: [3][60/500], Time: 1.07, Data: 0.04, lr_encoder: 0.018083, lr_decoder: 0.180833, Accuracy: 99.88, IOU: 0.165966 Loss: 0.006932
Epoch: [3][80/500], Time: 1.07, Data: 0.04, lr_encoder: 0.018047, lr_decoder: 0.180469, Accuracy: 99.89, IOU: 0.173769 Loss: 0.006837
Epoch: [3][100/500], Time: 1.07, Data: 0.04, lr_encoder: 0.018010, lr_decoder: 0.180105, Accuracy: 99.89, IOU: 0.179121 Loss: 0.006384
Epoch: [3][120/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017974, lr_decoder: 0.179740, Accuracy: 99.89, IOU: 0.182593 Loss: 0.006526
Epoch: [3][140/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017938, lr_decoder: 0.179376, Accuracy: 99.89, IOU: 0.193643 Loss: 0.006269
Epoch: [3][160/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017901, lr_decoder: 0.179012, Accuracy: 99.89, IOU: 0.197675 Loss: 0.006269
Epoch: [3][180/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017865, lr_decoder: 0.178647, Accuracy: 99.89, IOU: 0.202407 Loss: 0.006134
Epoch: [3][200/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017828, lr_decoder: 0.178283, Accuracy: 99.90, IOU: 0.208056 Loss: 0.006067
Epoch: [3][220/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017792, lr_decoder: 0.177918, Accuracy: 99.90, IOU: 0.204980 Loss: 0.005791
Epoch: [3][240/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017755, lr_decoder: 0.177553, Accuracy: 99.90, IOU: 0.203322 Loss: 0.005593
Epoch: [3][260/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017719, lr_decoder: 0.177188, Accuracy: 99.90, IOU: 0.204469 Loss: 0.005630
Epoch: [3][280/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017682, lr_decoder: 0.176823, Accuracy: 99.90, IOU: 0.203766 Loss: 0.005534
Epoch: [3][300/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017646, lr_decoder: 0.176458, Accuracy: 99.90, IOU: 0.205654 Loss: 0.005565
Epoch: [3][320/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017609, lr_decoder: 0.176093, Accuracy: 99.90, IOU: 0.205567 Loss: 0.005530
Epoch: [3][340/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017573, lr_decoder: 0.175728, Accuracy: 99.90, IOU: 0.203094 Loss: 0.005489
