Input arguments:
id               resnet50_upernet_0.002
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.002
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/learning_rate/
disp_iter        20
Model ID: resnet50_upernet_0.002-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.002-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.73, Data: 0.30, lr_encoder: 0.020000, lr_decoder: 0.002000, Accuracy: 38.21, IOU: 0.000000 Loss: 1.066053
Epoch: [1][20/500], Time: 1.16, Data: 0.05, lr_encoder: 0.019966, lr_decoder: 0.001997, Accuracy: 90.17, IOU: 0.000030 Loss: 0.220500
Epoch: [1][40/500], Time: 1.09, Data: 0.05, lr_encoder: 0.019930, lr_decoder: 0.001993, Accuracy: 94.91, IOU: 0.035670 Loss: 0.118589
Epoch: [1][60/500], Time: 1.12, Data: 0.05, lr_encoder: 0.019894, lr_decoder: 0.001989, Accuracy: 96.54, IOU: 0.067647 Loss: 0.083023
Epoch: [1][80/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019858, lr_decoder: 0.001986, Accuracy: 97.37, IOU: 0.083128 Loss: 0.065356
Epoch: [1][100/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.001982, Accuracy: 97.87, IOU: 0.102235 Loss: 0.054410
Epoch: [1][120/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.001979, Accuracy: 98.20, IOU: 0.119149 Loss: 0.046904
Epoch: [1][140/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.001975, Accuracy: 98.44, IOU: 0.119163 Loss: 0.041238
Epoch: [1][160/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.001971, Accuracy: 98.63, IOU: 0.136470 Loss: 0.036690
Epoch: [1][180/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.001968, Accuracy: 98.77, IOU: 0.140900 Loss: 0.033325
Epoch: [1][200/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.001964, Accuracy: 98.88, IOU: 0.141536 Loss: 0.030553
