Input arguments:
id               resnet50_upernet_train
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_10x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/upsampling/
disp_iter        20
Model ID: resnet50_upernet_train-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 24560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.44, Data: 0.16, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 36.72, IOU: 0.000000 Loss: 1.015553
Epoch: [1][20/500], Time: 1.10, Data: 0.05, lr_encoder: 0.019966, lr_decoder: 0.019966, Accuracy: 90.36, IOU: 0.001633 Loss: 0.619708
Epoch: [1][40/500], Time: 1.11, Data: 0.05, lr_encoder: 0.019930, lr_decoder: 0.019930, Accuracy: 92.06, IOU: 0.001533 Loss: 0.566518
Epoch: [1][60/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019894, lr_decoder: 0.019894, Accuracy: 92.53, IOU: 0.001132 Loss: 0.495569
Epoch: [1][80/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019858, lr_decoder: 0.019858, Accuracy: 93.44, IOU: 0.000902 Loss: 0.432945
Epoch: [1][100/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.019822, Accuracy: 93.45, IOU: 0.000934 Loss: 0.400375
Epoch: [1][120/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.019786, Accuracy: 94.06, IOU: 0.001268 Loss: 0.368172
Epoch: [1][140/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.019750, Accuracy: 94.88, IOU: 0.001113 Loss: 0.343915
Epoch: [1][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.019714, Accuracy: 95.27, IOU: 0.001354 Loss: 0.324487
Epoch: [1][180/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.019678, Accuracy: 95.43, IOU: 0.001300 Loss: 0.308745
Epoch: [1][200/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.019641, Accuracy: 95.04, IOU: 0.001316 Loss: 0.307166
Epoch: [1][220/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019605, lr_decoder: 0.019605, Accuracy: 94.80, IOU: 0.002963 Loss: 0.297359
Epoch: [1][240/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019569, lr_decoder: 0.019569, Accuracy: 94.79, IOU: 0.003195 Loss: 0.286177
