Input arguments:
id               resnet50_upernet_train3
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/loss_weights/
disp_iter        20
Model ID: resnet50_upernet_train3-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.79, Data: 0.14, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 38.21, IOU: 0.000000 Loss: 1.066053
Epoch: [1][20/500], Time: 1.14, Data: 0.05, lr_encoder: 0.019966, lr_decoder: 0.019966, Accuracy: 95.97, IOU: 0.003979 Loss: 0.123404
Epoch: [1][40/500], Time: 1.14, Data: 0.04, lr_encoder: 0.019930, lr_decoder: 0.019930, Accuracy: 97.86, IOU: 0.024696 Loss: 0.071073
Epoch: [1][60/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019894, lr_decoder: 0.019894, Accuracy: 98.53, IOU: 0.059573 Loss: 0.049938
Epoch: [1][80/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019858, lr_decoder: 0.019858, Accuracy: 98.84, IOU: 0.081113 Loss: 0.041649
Epoch: [1][100/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.019822, Accuracy: 99.05, IOU: 0.107793 Loss: 0.035016
Epoch: [1][120/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.019786, Accuracy: 99.19, IOU: 0.129475 Loss: 0.030546
Epoch: [1][140/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.019750, Accuracy: 99.29, IOU: 0.138524 Loss: 0.027074
Epoch: [1][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.019714, Accuracy: 99.37, IOU: 0.143570 Loss: 0.024305
Epoch: [1][180/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.019678, Accuracy: 99.43, IOU: 0.146325 Loss: 0.022165
Epoch: [1][200/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.019641, Accuracy: 99.47, IOU: 0.150222 Loss: 0.020515
Epoch: [1][220/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019605, lr_decoder: 0.019605, Accuracy: 99.51, IOU: 0.149725 Loss: 0.019140
Epoch: [1][240/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019569, lr_decoder: 0.019569, Accuracy: 99.55, IOU: 0.151456 Loss: 0.018105
