Input arguments:
id               resnet50_upernet_train2
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/loss_weights/
disp_iter        20
Model ID: resnet50_upernet_train2-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [2][120/500], Time: 1.13, Data: 0.04, lr_encoder: 0.018882, lr_decoder: 0.018882, Accuracy: 99.31, IOU: 0.067683 Loss: 0.033978
Epoch: [2][140/500], Time: 1.13, Data: 0.04, lr_encoder: 0.018846, lr_decoder: 0.018846, Accuracy: 99.32, IOU: 0.067821 Loss: 0.034082
Epoch: [2][160/500], Time: 1.13, Data: 0.04, lr_encoder: 0.018810, lr_decoder: 0.018810, Accuracy: 99.30, IOU: 0.063639 Loss: 0.034600
Epoch: [2][180/500], Time: 1.12, Data: 0.04, lr_encoder: 0.018774, lr_decoder: 0.018774, Accuracy: 99.29, IOU: 0.063262 Loss: 0.034109
Epoch: [2][200/500], Time: 1.12, Data: 0.04, lr_encoder: 0.018737, lr_decoder: 0.018737, Accuracy: 99.30, IOU: 0.064065 Loss: 0.033312
Epoch: [2][220/500], Time: 1.12, Data: 0.04, lr_encoder: 0.018701, lr_decoder: 0.018701, Accuracy: 99.32, IOU: 0.065727 Loss: 0.031909
Epoch: [2][240/500], Time: 1.11, Data: 0.04, lr_encoder: 0.018665, lr_decoder: 0.018665, Accuracy: 99.35, IOU: 0.067089 Loss: 0.030482
Epoch: [2][260/500], Time: 1.12, Data: 0.04, lr_encoder: 0.018628, lr_decoder: 0.018628, Accuracy: 99.36, IOU: 0.067809 Loss: 0.029909
Epoch: [2][280/500], Time: 1.11, Data: 0.04, lr_encoder: 0.018592, lr_decoder: 0.018592, Accuracy: 99.37, IOU: 0.065768 Loss: 0.029336
Epoch: [2][300/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018556, lr_decoder: 0.018556, Accuracy: 99.38, IOU: 0.066673 Loss: 0.028362
Epoch: [2][320/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018520, lr_decoder: 0.018520, Accuracy: 99.40, IOU: 0.066719 Loss: 0.027550
Epoch: [2][340/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018483, lr_decoder: 0.018483, Accuracy: 99.40, IOU: 0.066744 Loss: 0.026931
Epoch: [2][360/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018447, lr_decoder: 0.018447, Accuracy: 99.41, IOU: 0.070038 Loss: 0.026161
Epoch: [2][380/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018411, lr_decoder: 0.018411, Accuracy: 99.42, IOU: 0.069852 Loss: 0.025847
Epoch: [2][400/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018374, lr_decoder: 0.018374, Accuracy: 99.43, IOU: 0.069700 Loss: 0.025358
Epoch: [2][420/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018338, lr_decoder: 0.018338, Accuracy: 99.42, IOU: 0.071152 Loss: 0.025339
Epoch: [2][440/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018302, lr_decoder: 0.018302, Accuracy: 99.42, IOU: 0.071422 Loss: 0.025086
Epoch: [2][460/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018265, lr_decoder: 0.018265, Accuracy: 99.43, IOU: 0.072495 Loss: 0.024639
Epoch: [2][480/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018229, lr_decoder: 0.018229, Accuracy: 99.44, IOU: 0.073060 Loss: 0.024340
Saving checkpoints...
Epoch: [3][0/500], Time: 0.89, Data: 0.00, lr_encoder: 0.018192, lr_decoder: 0.018192, Accuracy: 99.43, IOU: 0.101786 Loss: 0.014832
Epoch: [3][20/500], Time: 1.07, Data: 0.04, lr_encoder: 0.018156, lr_decoder: 0.018156, Accuracy: 99.34, IOU: 0.076169 Loss: 0.020147
Epoch: [3][40/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018120, lr_decoder: 0.018120, Accuracy: 99.52, IOU: 0.080333 Loss: 0.018151
Epoch: [3][60/500], Time: 1.08, Data: 0.04, lr_encoder: 0.018083, lr_decoder: 0.018083, Accuracy: 99.49, IOU: 0.074152 Loss: 0.018044
Epoch: [3][80/500], Time: 1.07, Data: 0.04, lr_encoder: 0.018047, lr_decoder: 0.018047, Accuracy: 99.47, IOU: 0.070245 Loss: 0.019836
Epoch: [3][100/500], Time: 1.07, Data: 0.04, lr_encoder: 0.018010, lr_decoder: 0.018010, Accuracy: 99.50, IOU: 0.079039 Loss: 0.018678
Epoch: [3][120/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017974, lr_decoder: 0.017974, Accuracy: 99.51, IOU: 0.081542 Loss: 0.018525
Epoch: [3][140/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017938, lr_decoder: 0.017938, Accuracy: 99.52, IOU: 0.081369 Loss: 0.018069
